,nroV,idF,País,Día,Mes,Año,Medio,Título,Comentario
34,35,35,Argentina,15,Octubre,2022,La Nación,Reino Unido: un canal de TV compra un cuadro de Hitler para que el público decida sobre su posible d,"También podrian destruir cuadros de Picasso que era un psicótico y homófono. O de Dali un hombre de dudosa moralidad. o quemar las partituras de Wagner ya que Hitler era fanático de su obra, o los libros de Heiddeger, admirador del nazismo, o los poemas de Neruda, que como persona dejaba bastante de desear, ademas de admirador del comunismo y Stalin, y asi seguir, No quedaría nada, sin perjuicio de considerar que tal vez si a Hitler le hubiese ido bien como pintor tal vez la historia hubiese sido distinta"
158,159,159,Argentina,31,Julio,2021,Clarín,Israel tira a la basura vacunas contra el coronavirus por un valor de 1.8 millones de dólares,¿Qué nos hace falta para tirar a la b.......a este gobierno de corruptos asesinos ?
102,103,103,Uruguay,4,Julio,2024,Montevideo,Israel anuncia el envío de una delegación para negociar la liberación de rehenes en Gaza,"Israel aprobó este 25 de Junio la apropiación de 12.715 km2 de tierras palestinas en la ocupada hoy Cisjordania, declarándolas tierras estatales israelíes. En lo que va de este año Israel se ha apropiado de 23.700 km2 de territorio Cisjordano. También ha construido a la fecha más de 100 asentamientos en Cisjordania, expulsando de sus tierras a los habitantes palestinos... Se entiende de qué va la cosa? O es necesario aclarar más aún cuál es el objetivo de toda esta matanza indiscriminada..."
84,85,85,Argentina,31,Octubre,2023,Clarín,Tensión en Francia entre judíos y musulmanes: la policía balea a una mujer con burka y aparecen estr,"La gente en todo el mundo se cansó de este conflicto entre judíos y musulmanes, para quienes no son practicantes de esas dos religiones ya hartan. Que se ma ten entre ellos y dejen de joder a quienes no practican ninguna religión o son de otra creencia."
139,140,140,Uruguay,6,Junio,2022,Montevideo,Opinión | Tratan de engañar a la Celeste con mentiras llenas de odio,"Uy, de nuevo la tipa que defiende el terrorismo de estado"
50,51,51,Chile,26,Mayo,2024,Biobio,"
Hamás ataca con cohetes el centro de Israel por primera vez en seis meses
","Ahora la propaganda sionista va a utilizar durante meses esos cohetes para justificar el genocidio en Gaza. Los cohetes de Hamas son una legítima respuesta a la masacre sionista, y los cohetes artesanales de Hamas no compiten contra la poderosa maquinaria militar de Israel. Por cada cohete de Hamas los sionistas han disparado 500 proyectiles de artillería contra Gaza. Solo opinólogos fanáticos sionistas de Emol, carentes de toda sensibilidad humana, pueden desconocer que las masacres cometidas por los asesinos  a las órdenes del prófugo de la justicia Netanyahu sean un crimen de guerra. 143 países votaron en la ONU por reconocer a Palestina, y posteriormente se sumaron España, Irlanda y Noruega. Ya la opinión pública mundial se dio cuenta de que la masacre de 36 mil civiles palestinos no son una “acción defensiva”, es un genocidio que no tiene ninguna justificación militar."
295,296,445,Chile,18,Febrero,2024,Biobio,"
Lula compara a Israel y Gaza con Hitler y el genocidio de judíos: Netanyahu le responde indignado
","PRIMERA VEZ QUE  CONCUERDO  CON  LULA...ESTE  PRESIDENTE JUDIO ES  PEOR QUE  HITLER, LOS  JUDIOS  HAN  ABUSADO  DEL PUEBLO PALESTINOS  POR  DECADAS..UY LOS  CULPABLES  SON  LOS EE.UU Y GRAN BRETAÑA,,,,"
356,357,4362,Chile,28,Noviembre,2023,Emol,"Milei lo define como su ""guía espiritual"": Axel Wahnish, el rabino que aconseja al Presidente", Otro gobernante fanático en la region....
157,158,158,Uruguay,10,Mayo,2023,Montevideo,Lluvia de críticas por la venta en Suiza de joyas de una millonaria vinculada al nazismo,"No veo el problema,...las joyas están , que quieren q haga la dueña, q las siga guardando?, no niego el holocausto judío, pero ya fue y ojalá no se repita con nadie;  pero es pasado...."
216,217,217,Colombia,5,Marzo,2024,Dos Orillas,Gaza: entre esqueletos andantes y la complacencia de Occidente,"Ni la señora Ahumada tampoco la iraní Zangana, (a esta última incapaz de ser imparcial, pues su potente país patrocina a los terroristas de Hamas);igual Petro, pronuncian una sola palabra sobre quien provocó está guerra, con más de 1.200 masacrados del lado israelí. Las bombas y demás explosivos que lanza Hamas y Putting, no son tóxicas? No contaminan? Verdaderamente los dirigentes ultraizquierdistas colombianos no se sonrojan expresando idioteces e incoherencias."
105,106,106,Panamá,20,Noviembre,2022,La Estrella,'Eichmann en Jerusalén' Una lectura para pensar sobre la (in) conciencia,SEGUIR VENDIENDO A LOS MUERTOS JUDIOS COMO LOS UNICOS DE LA SEGUNDA GUERRA MUNDIAL.  EL RESTO DE LOS 45 MILLONES DE MUERTOS NO EXISTIO.
254,255,321,Colombia,12,Agosto,2022,El Tiempo,"SalomÃ³n Lerner (1929-2022), fundador de la librerÃ­a que lleva su nombre.",Go to hell...one rat less 
298,299,448,Chile,20,Mayo,2021,Biobio,"
    Cientos de personas se manifestaron frente a la embajada israelí en Chile por bombardeos a Gaza","Vean estos 3 mini reportajes de la BBC para entender (YouTube): 
https://youtu.be/FJNcyvjV304

https://youtu.be/_KaJPKYtx3o

https://youtu.be/vMIslm7jvMw

Los judíos eran los sin tierra, y de todo el mundo siguen llegando para instalarse en Palestina 
A ver si nos gustaría a nosotros que comenzarán a llegar como plagas a nuestro país, y después se apoderarán de el. Es terrible como con maquinaria te expulsan de sus casas y no alcanzan a llevarse nada .
Si ya reclaman muchos por los que llegan de Perú, Colombia y que decir de los Venezolanos.
A propósito, para los que no saben, el sur de Chile está en la mira de los judíos. Ya están llegando de a poco a poco ....tanto así, que incluso los letreros de avisos, están escritos en hebreo. Pongan atención en eso, pues en unos años más, tendremos quizás que problema en el sector sur de Chile con esta plaga."
42,43,43,Chile,27,Diciembre,2023,Biobio,"
Los muertos en Gaza superan los 21.000 entre denuncias por robo de órganos
","Hamas hablando del tráfico de órganos calificandólo de crímen de guerra, es como cuando Maduro habla de los derechos humanos, el mundo al revés y hay algunos que están del lado terrorista... son patéticos."
256,257,324,Chile,2,Febrero,2022,Biobio,"
    Whoopi Goldberg suspendida de su programa tras dichos del Holocausto: ""No tuvo que ver con la r","Curioso el caso de esta afro. Negra de raza, con apellido eminentemete judío dijo una verdad del porte de un buque. Blancos contra blancos fue lo de los nazis contra judíos, comunistas, gitanos, polacos etc. Lo mismo que los bolcheviques rojos contra rusos ""blancos"" todos ellos blancos. Napoléon, blanco, arrasó media Europa también blanca. Las ideologías y el imperialismo han asesinado mas gente que las que murieron en el holacausto y no por asunto de raza y para peor, parece que los israelíes (blancos) son como le padre Gatica que predica pero no practica. Ahí están Gaza, Shatila, Sabra y Cisjordania y los judíos también tienen a su Hitler en escala menor: Sharon, ambos pudriéndose en los quintos infiernos"
119,120,120,Chile,28,Abril,2022,Biobio,"
    Familia del PM de Israel recibe dos amenazas de muerte en 48 horas: les llegó una carta y una b",Pues ya la estan pagando viejo decrepito farsante
28,29,29,Uruguay,19,Febrero,2024,Montevideo,Israel declara “persona non grata” al presidente brasileño Lula da Silva,"Que el estado, genocída y asesino de niños y mujeres de Israel, te declare ""Persona non grata"" debe de ser, de las mejores condecoraciones posibles.  Les falto decir a estos nazis de mierda, que es ""antisemita"""
53,54,54,Uruguay,8,Octubre,2023,Subrayado,"Netanyahu advierte que la guerra de Israel contra Hamás será ""larga""","Cuando Israel mata niños, mujeres y hombres inoscentes nunca vi al enano mitomano condenar eso."
263,264,336,Uruguay,6,Agosto,2021,Montevideo,Opinión | Los frentes que amenazan a Israel son parte de un mismo eje manejado por Irán,Puras mierdas dice desde hace años la askenazi asquerosa de mierda esta.¿Cuando vas a hablar de las armas nucleares de israhell qué tienen hace decadas y no reconocen?
145,146,146,Argentina,2,Mayo,2023,La Nación,Murió en Israel un importante líder palestino tras 86 días sin comer,"Para Israel, todos los palestinos que mueren son “terroristas”,"
302,303,464,Chile,11,Mayo,2021,Emol,Israel dice haber atacado 130 blancos militares en Gaza y matado a 15 miembros de grupos armados, Los israelitas justificando el pq de las miserias que han pasado por siglos
280,281,403,Uruguay,25,Marzo,2024,Montevideo,Trump insta a Israel a “terminar la guerra” en Gaza por la pérdida de apoyo en el mundo,De que guerra habla este sinverguenza????? Lo que hay es un genocídio llevado adelante por los judios.....despues preguntan porque no los quieren.
91,92,92,Uruguay,30,Julio,2024,Montevideo,Israel realizó un “bombardeo selectivo” en Beirut: su objetivo era matar a jefe de Hezbolá,"Los sionistas fueron tan estúpidos de robar un desierto casi sin agua. Sion, la tierra prometida de su estúpido dios, es un desierto inservible. Por eso quieren tanto los altos de Golán: tiene agua dulce.Gente tan estúpida de querer meterse a la fuerza en un desierto apenas habitable, no puede ser elegida por ningún Dios inteligente.Me hace sentir orgullo de tener sangre Española. A la hora de robar tierra, la eligieron fértil, con oro o sirvientes. No desiertos asquerosos casi inhabitables. Eso es de down sionista."
340,341,3139,Colombia,24,Enero,2024,Dos Orillas,"Por Piedad, por África, por Palestina","Pues según parece, no tenía nada que envidiarle a sor Teresa de Calcuta."
56,57,57,Uruguay,9,Mayo,2022,Montevideo,"Zelenski dice que Ucrania no permitirá que Rusia ""se apropie"" de la victoria sobre el nazi",80 años después siguen desnazificando.80 años después hay judíos que siguen siendo colaboracionistas de los nazis.
136,137,137,Colombia,25,Octubre,2023,Dos Orillas,"Israel pide la dimisión de Guterres, acusándole de ""tolerar el terrorismo""","Eso de estar bombardeando indiscriminadamente niños, mujeres, casas, negocios, escuelas. en un país que ni siquiera tiene ejercito para defenderse es de absoluta cobardía (Si es que lo reconocen como país) y lo único que hacen es atizar el odio que les tienen los árabes.  Les recomiendo un documental de Netflix, ""Nacido en Gaza"", cuentan como ocho niños Palestinos fueron bombardeados jugando fútbol en una playa, donde murieron cuatro y el hermanito que quedo vivo solo piensa en crecer para tomar venganza, además de otras historias subrealistas, ver para creer."
107,108,108,Argentina,8,Octubre,2023,Clarín,"Franja de Gaza, el epicentro de la guerra entre Israel y Palestina: mapa y cómo surgió","El Estado de Israel no es neo nazi, es un estado nazi ortodoxo, es un estado militarista, invasor y expansionista que emplea métodos de guerra y confina a guetos de exterminio a los pueblos invadidos.  Si eso no es nazismo, ¿el nazismo donde esta?"
200,201,201,Chile,4,Julio,2022,Emol,"Peritaje de EE.UU. arroja que disparo israelí ""probablemente"" abatió a periodista de A", hitler tenia razon....
23,24,24,Argentina,18,Julio,2021,La Nación,AMIA: Israel pidió al Gobierno que “agote sus recursos” y lleve a los responsables a la Justicia,87 Israelies!!
166,167,167,Colombia,5,Febrero,2021,El Tiempo,La bandera nacional palestina ondea a media asta en el centro de la ciudad de HebrÃ³n en Cisjordania,Se les acabó el patrocinio genocida a israel. Que se queden con el pedazo que les regalaron y dejen de fastidiar a los vecinos que ya estaban. 
124,125,125,Argentina,22,Julio,2022,Clarín,Datos que contradicen la posición histórica de Israel sobre el rol de Irán en los atentados,que extraño.
75,76,76,Argentina,16,Diciembre,2023,La Nación,Grieta al rojo vivo: los choques políticos y culturales sobre el conflicto entre israelíes y palesti,"homicidio de niños, no hablemos mas, son nazis y siempre lo fueron ...."
306,307,471,Chile,11,Mayo,2021,Emol,Tensión en Jerusalén: Los factores que motivaron los nuevos enfrentamientos entre pale, Ojalá en tel aviv exploten un par de misiles nucleares...Hitler tenía razón....
179,180,180,Uruguay,22,Junio,2021,Montevideo,Científicos rompen accidentalmente un antiguo huevo hallado recientemente en Israel,"La Autoridad de Antigüedades de Israel, solo puede colectar algún sello o billete de no mas de 73 años de antiguedad, ya que es un estado creado en 1948 entre la reina de Inglaterra y el barón Rothschild.Después se dedican a escarbar y encontrar cosas ajenas."
131,132,132,Panamá,31,Marzo,2023,La Estrella,Alianza Evangélica de Panamá adoptó la definición de Antisemitismo de la Alianza por la Recordación ,"Los evangélicos son enemigos declarados y acérrimos del catolicismo, escupen, vomitan y la cabeza les da vuelta de solo ver la imagen de un santo, y eso es porque se creen descendientes semitas, que por cierto, no sufren de esos resentimientos."
357,358,4419,Chile,14,Marzo,2024,Emol,Netanyahu pierde respaldo en EE.UU.: Líder demócrata en el Senado pide elecciones en I, A nadie le importa el tema palestina....solo las elecciones en EEUU
301,302,458,Chile,21,Julio,2024,Biobio,"
Adidas retira a modelo de ascendencia palestina Bella Hadid de campaña tras presión israelí
",Estos judíos se buscan el odio y el rechazo ellos solos. Luego andan llorando por la vida dando lástima cuando aparecen personajes como Hitler que ya hartos de sus lamentos los llenan de balazos. Se ganan el odio del mundo a excepción de la casta multimillonaria de EEUU y Europa que maneja la política a su antojo. Se ve por qué cada vez más países se les oponen.
94,95,95,Chile,12,Mayo,2021,Emol,"Netanyahu advierte que Israel ""responderá con fuerza cada vez mayor"" a ataques desde Gaza"," Todo un matón, la otra vez me enteré de algo que desconocía, un grupo de Judíos ultraortodoxos apoyan la causa palestina, rechazan el estado de Israel, lo consideran sionista, ondean la bandera palestina en sus sinagogas, van a marchas con los palestinos portando la bandera palestina, son amigos del régimen de Iran y eran amigos de Arafat, todo lo contrario a lo que uno imaginaría de un Judío ultraortodoxo.https://es.m.wikipedia.org/wiki/Neturei_Karta"
211,212,212,Uruguay,17,Julio,2024,Montevideo,"A 30 años de la AMIA, Irán amenaza a Argentina y dice que le “hará lamentar su enemistad”",Sólo un imbécil como Milei puede salir a provocar a los que dice que hicieron el atentado a ver si le hacen otro
241,242,283,Argentina,13,Diciembre,2022,La Nación,"“Palestina libre”, Maslatón y El Tula: una tragicomedia argentina en 40 minutos",QUE VERGÜENZA  EL TULA. DECADENCIA PURA Y ENCIMA VA CON NUESTRO DINERO. MOSTRAMOS LO PEOR DE LO PEOR.
192,193,193,Uruguay,20,Julio,2024,Montevideo,Ojeda sobre declarar “grupo terrorista” a Hamás y Hezbolá: “Que los países no sean tibios”,"Por lo visto, al Sr. Ojeda no le bastan los hechos de sangre que vivimos día a día en el país, sino que está deseoso de comenzar a ver atentados terroristas de motivación islámica. En qué beneficia al Uruguay y a sus intereses como nación meterse en este asunto es lo que le falta explicar."
332,333,2292,Costa Rica,26,Febrero,2024,CR Hoy,Biden dice esperar un alto el fuego en Gaza para el “próximo lunes”,Lo dijo mientras se comía un heladito. ????????????
305,306,470,Chile,24,Diciembre,2023,Biobio,"
Netanyahu asegura que Israel está ""pagando un alto precio por la guerra""
","Los asesinos judíos siempre se auto consideran víctimas. Son genocidas desde que irrumpieron e invadieron Cisjordania el año 48. Siempre se lamentan, Siempre lloran."
315,316,1280,Chile,28,Noviembre,2023,Emol,"Milei lo define como su ""guía espiritual"": Axel Wahnish, el rabino que aconseja al Presidente", ¿Qué pensará un rabino de un instructor de sexo sánscrito?
236,237,263,Chile,12,Mayo,2021,Emol,"Tensión en Medio Oriente: Putin llama a la ""desescalada"" y Erdogan aboga por dar una ""lecci&o"," La comunidad judía es muy poderosa e influyente en EEUU. Domina las RREE en este tema. Putin no tiene ninguna posibilidad de influir, ya que tiene sus propios conflictos con EEUU. Erdogan, sólo declaraciones para la galería. Al final, el conflicto va a llagar hasta donde EEUU quiera que llegue, ya que maneja a su antojo a la marioneta del gobierno israelí."
293,294,442,Uruguay,18,Febrero,2024,Subrayado,Lula acusa a Israel de cometer un genocidio en Gaza y hace comparación con Hitler,"Y el holocuento de los 6millones es mentira , que mataron judios mataron,  pero no 6 millones."
271,272,365,Uruguay,25,Marzo,2024,Montevideo,Trump insta a Israel a “terminar la guerra” en Gaza por la pérdida de apoyo en el mundo,"Lo que esta haciendo el Régimen sionista-racista-Talmudista al mando de las FDiT (Fuerzas Desalmadas Irreales Talmudistas) desde hace casi de 180 días es INACEPTABLE!!!!! asesinando a mas de 31.500 civiles e hiriendo a mas de 72.000, por la espalda y sin aviso, así no podía ni protegerse de los ataques ni defenderse al ser indiscriminados; la MITAD niños!! donde el ‘Carnicero de niños/as’ del Bobetayu, asesino a mas niños/as porq si y sin razón mas q racista que en nada menos —> 4 años de conflictos en TODO el mundo! (nota mas abajo)   tz! que hasta almacenes y convoys de la propia ONU atacan y de nuevo atacaron el Hospital.. INACEPTABLE! haga quien lo haga.. están hace 5 meses y pico haciendo competencia co el Régimen nazi-corrupto-terrorista-criminal del Bobenki en Kiev a ver cual de los dos asesinan a mas civiles y niños/as porq si y sin razón  por la espalda y sin aviso!! Bien de COBARDES! por no decir otra cosa."
163,164,164,Chile,18,Febrero,2024,Biobio,"
Lula compara a Israel y Gaza con Hitler y el genocidio de judíos: Netanyahu le responde indignado
","Mujeres y niños son el botín de guerra de un ejército 
De cobardes , asesinos 
Venganza es lo que busca Israel 
Nada más 
Las cosas cambian y ellos lo saben 
Muchos empatizamos con lo que sufrieron a manos de los nazis 
Esto.los pone a su nivel 
La historia los condenará 
 Los líderes de este genocidio deben pagar 
Sus crímenes el mundo en algún momento debe volver a la cordura"
3,4,4,Uruguay,22,Enero,2022,Montevideo,"Hace 80 años, los nazis planificaron la ‘solución final’ en solo 90 minutos","AHORA, A ESCRIBIR NOTAS SOBRE LAS MASACRES DE LOS JUDÍOS EN LA FRANJA DE GAZA."
275,276,377,Uruguay,1,Septiembre,2022,Montevideo,"Lacalle recibió el Premio Jerusalem, que otorga la Organización Sionista del Uruguay",Un honor recibir el premo de una organizacion terrorista violador de los derechos humanos ocupante impune escudado en el nazismo europeo hoy defendido para justificar masacres a mujeres y niños que les riban tierras y recursos impunemente.
253,254,312,Uruguay,18,Abril,2024,Montevideo,"Opinión | Israel e Irán, una guerra desigual… y no por cuestión de fuerza",Esta judía sionista asesina volvió a habilitar los comentarios después de muuuuuuuuucho tiempo. JUDIA ASESINA. Más tarde o más temprano van a terminar explotando hijos de r3 m1l put44444as.
110,111,111,Chile,20,Mayo,2024,Emol,"Biden califica de ""escandalosa"" la decisión del fiscal de la CPI: ""Israel y Hamás no s", ES. QUESTION. DE VER. LOS. NUMEROS. DE. VICTIMAS INOCENTES.??
66,67,67,Uruguay,2,Agosto,2022,Subrayado,Estados Unidos pide a Argentina la incautación del avión venezolano,"Los malditos yonkees de narcolandia siguen  manejandose como en la conquista del lejano oeste,siempre queriendo imponer sanciones a todo el mundo,cuando son ellos los terr0ristas del planeta,creando conflictos para mantener su economia con la industria armamentista."
88,89,89,Uruguay,25,Julio,2021,Montevideo,JJ.OO.: judoca argelino se fue del certamen por no querer pelear con un adversario israelí,"La comunidad internacional debería hacer con Israel lo que se hizo, más o menos, con la Sudáfrica del Apartheid de los nazis sudafricanos...que recibían apoyo tecnológico israelí para desarrollar sus armas y masacrar a los pueblos de África austral...ESE RÉGIMEN NAZI ERA APOYADO POR ISRAEL."
270,271,362,Argentina,9,Marzo,2022,Clarín,Irán pidió a EE.UU. levantar las sanciones contra dos acusados por el atentado contra la AMIA,La falacia sio.nis.ta de que Irán nos metió el aún inesclarecido bom.ba.zo indiscriminado en la AMIA sigue causando problemas al mundo y a los yan.kis...(sigue infra)
115,116,116,Uruguay,17,Agosto,2023,Montevideo,Palestina advierte a Uruguay tras dichos del canciller israelí sobre oficina en Jerusalén,"¡¡Que gobierno chupaa pijha de miherda!! Gobierno lameqlos. Alcahuete de los judíos. Judíos de mhierda, asesinos, invasores, ocupas, genocidas. Y acá hay una cantidad de ""diplomáticos de carrera"", como el tal San Gato y todos los alcahuetes que lo aplauden. Por supuesto que un estado soberano no tiene que pedir permiso a nadie. Pasa que el tipejo este, al abrir esa oficina en Jerusalén, está tomando partido. Y el enano genuflexo tomó partido por el más fuerte, por el que todos le tienen miedo, por los genocidas invasores. Una verguenza."
249,250,304,Colombia,2,Febrero,2023,El Tiempo,MAHMUD HAMS / AFP,"la sanciones contra rusia por la invasion a ucrania se han visto , cuando las sanciones contra israel por seguir el genocidio contra los palestinos, no veo las ayudas militares ni los tanques llegando a palestina para defenderse de la tecnologia asesina judia , que paso ?? doble racero ?"
141,142,142,Chile,3,Septiembre,2023,Biobio,"
Israel evalúa deportar a eritreos que protagonizaron violentos enfrentamientos en Tel Aviv
","En Chile se debe copiar lo de Israel, uso de bombas lacrimogenas y aturdidos, para calmar las protestas en nuestro país"
121,122,122,Chile,12,Mayo,2021,Biobio,"
    Netanyahu por conflicto palestino-israelí: ""Eliminamos a los mandos de Hamás y es solo el comie","Sieg Heil Netanyahu,p'tas que aprendieron bien de sus ""verdugos ¿No?"
203,204,204,Uruguay,19,Febrero,2024,Montevideo,Israel declara “persona non grata” al presidente brasileño Lula da Silva,"No hagan más daño con la excusa del holocausto,  nos viene lavando el cerebro hace años , basta !! Son unos hdps!! Assesinoss"
135,136,136,Panamá,26,Octubre,2023,La Estrella,"Comunicados, 'antisemitismo' y disculpas: el conflicto Israel-Hamás divide a Hollywood","Los palestinos tambien son un pueblo semita, los medios parecen no tener muy claro esto y usan antisemita para solo referirse a solo un grupo."
257,258,325,Uruguay,25,Marzo,2021,El País,Colectividad judía molesta con el gobierno de Lacalle por voto en Consejo de la ONU,"los judíos piensan que son el ""ombligo"" del mundo ....a otra cosa !!"
21,22,22,Colombia,14,Febrero,2024,El Tiempo,El primer ministro de Israel BenjamÃ­n Netanyahu.,Es usted un asesino neto. 
208,209,209,Argentina,2,Septiembre,2022,La Nación,Los tres símbolos nazis que tiene grabados en su piel el atacante de Cristina Kirchner,"Antes de que surga el nazismo ya Thor estaba condenado a ser nazi,un héroe de la mitología!!!"
240,241,282,Argentina,10,Mayo,2022,La Nación,Cómo será la plaza de la memoria que se creará sobre los escombros del atentado de la AMIA,"NO querido, informate, Irán NO TUVO NADA QUE VER con los 2, aún inesclarecido bombazos indiscriminados en Baires en 1992 y 1994, sino que fue una víctima más de estos, ya que por las FALSAS ACUSACIONES que sus enemigos Israel y USA les impusieron a “nuestros” débiles “gobiernos”(¡a todos!) e (in)justicia flan casi pierde al más estrecho amigo que tuvo en la región y en el mundo tal vez, justamente hasta el bombazo AMIA, y los persas podrán ser terroristas(aunque muchísimo menos que Israel y USA), pero elotudos no son y no van a escupir para arriba."
198,199,199,Argentina,10,Mayo,2024,La Nación,Más de 100.000 personas huyen de Rafah mientras Israel amplía la ofensiva,Muchos comentarios que incentivan el desplazamiento de los Palestinos. Se llama epuración étnica y es considerado como un crimen de guerra. Los que proponen esta solución tendrían que ser juzgados por la justicia como complices.
151,152,152,Chile,11,Mayo,2021,La Tercera,Así fue el ataque con misiles desde Gaza contra Israel,Y las imágenes del bombardeo de aviones de guerra sionista contra zonas residenciales  en la Franja de Gaza y el asesinato de más de 30 civiles entre ellos 9 niños????
155,156,156,Argentina,4,Diciembre,2021,La Nación,"El bombardeo de Dresde, ¿un crimen de guerra de los aliados que quedó impune?","Toda guerra es un crimen, quien la pierde serán los culpables. Saliendo del tema bélico, ver como quedo reconstruida esa bella ciudad, siendo un ejemplo del pueblo y gobierno Alemán, los gobierno y el pueblo Argentino deberían imitar para salir de la decadencia que se inicio a partir de 1943 sin tener ninguna guerra."
78,79,79,Chile,21,Mayo,2021,Biobio,"
    Los túneles de Gaza, el principal objetivo de ataques aéreos israelíes
","Esto es propaganda del régimen de APARTHEID y ocupación contra Palestina.

Disfrazado de reportaje el artículo pretenda dar excusas para bombardear a la prision a cielo abierto que es Gaza - campo de concentración atacado por aire mar y tierra por un régimen racista y asesino.

Los objetivos no son los túneles, es simplemente asesinar a civiles, niños incluidos."
338,339,2892,Chile,12,Mayo,2021,Biobio,"
    Daniela Kirberg mostró cómo se ven misiles desde patio de su hermana en Israel y rogó ""por la p",Su hermana vive en Palestina.
74,75,75,Colombia,24,Enero,2024,Dos Orillas,"Por Piedad, por África, por Palestina",hola se fue sin contarnos lo de los dolares que llevaba en su higienico turbante cuando la pillaron en Honduras
156,157,157,Uruguay,23,Noviembre,2023,Montevideo,Drexler: “Un espanto como el de Hamás no se soluciona con 5.500 niños palestinos muertos”,Ahora las agencias de publicidad uruguayas le van a hacer el boicot a Drexler por ejercer el derecho a libre expresión.
31,32,32,Colombia,21,Mayo,2021,El Tiempo,"Un niÃ±o palestino camina entre escombros de su casa familiar, destruida tras el bombardeo israelÃ­ ","La Corte Penal Internacional ya interviene frente al genocidio que comete el gobierno de Israel en cabeza de Netanyahu, que es ya un criminal de guerra. Solidaridad con el pueblo palestino..!"
185,186,186,Uruguay,12,Marzo,2024,Montevideo,"Matyszczyk tras cruce con Petinatti: “Nunca fui, ni cerca, antisemita; todo lo contrario”",La estrella que falta en la bandera EEUU  es la del estado de ISRAEL
57,58,58,Colombia,22,Octubre,2022,El Tiempo,Esta criminal alemana sometiÃ³ a cientos de judÃ­os en los campos de concentraciÃ³n.,"El partido de Hitler no era de derecha como equivocadamente lo escriben y lo creen muchas personas, era de izquierda, “Partido nacional socialista” "
126,127,127,Chile,19,Julio,2024,Emol,"CIJ dictamina que ocupación israelí de territorios palestinos es ""ilegal"" y llama a po", La legalidad internacional solo funciona a favor de los poderosos !Israel NUNCA ha respetado resolución o dictamen alguno y menos lo DDHH. Igual que la lógica de los Nazis: las armas resuelven todo ….
92,93,93,Uruguay,15,Mayo,2021,Montevideo,El primer ministro de Israel destacó apoyo de gobierno uruguayo en conflicto con Palestina,"Basta ignorantes de historia de cacarear que Israel quiere la paz, eso fue en un período corto en la  época de los 90 hasta que mataron a Isaac Rabin (premio nobel de la paz por esfuerzos de pacificar, junto a Shimon Peres y Arafat) , y fue un judío el que lo asesinó, un ultra como los de ahora que lo que quieren es avasallar y echar a los palestinos, que no quede ninguno. La política es ciudadanos de segunda, y matar 10 a 1 por cada atentado, que es resultado esperable (esperable y buscado), para con esa excusa destruir y pisotear más a los palestinos. El gobierno de Israel actual es la antítesis de aquel de Rabin. Vergonzoso para el mundo entero."
111,112,112,Argentina,18,Octubre,2023,Clarín,La argentina en Israel que se despertó con un llamado que cambió su vida: “Hoy estaríamos todos muer,"Es una tragedia , causada por el  fundamentalismo de ambos bandos . Cuando es herido o muerto  un nene o nena  , cual  vale mas ?"
299,300,452,Chile,12,Mayo,2021,Emol,Entre la ocupación y el bloqueo: Las cuatro claves que explican la distribución geogr&," Sionistas terroristas, ladrones y delincuentes. Esta vez les saldrá el tiro por la culata a estos nazis sionistas. Viva Palestina."
123,124,124,Argentina,10,Enero,2022,La Nación,"Cómo operaba la Gestapo, la despiadada policía secreta del nazismo","Eran igualitos a La Cámpora, bah"
220,221,223,Uruguay,3,Junio,2022,Montevideo,Opinión | Se cumplen 55 años de la guerra en la que Israel no se dejó destruir,"Estaria bueno que MVD para hacerle contrapunto a esta progandista ""pro-sion"", que habilitara un articulo redactada por una periodista palestina...Digo, para conocer los dos lados de la moneda..."
274,275,372,Uruguay,22,Mayo,2021,El País,"""La vida o la muerte en un minuto y medio"", relato en primera persona de un uruguayo en Israel","Son las cosas que pasan, cuando vives en territorio que ha robado el estado terrorista judío a otros tras una limpieza étnica de libro."
228,229,243,Uruguay,7,Diciembre,2021,Montevideo,Político holandés comparece ante la Justicia por comparar medidas anticovid con Holocausto,"Cuando no los judíos sintiéndose ofendidos cuando la comparación era simbólica, pero bueno ya sabemos cuales son sus esencias"
183,184,184,Uruguay,30,Noviembre,2023,Montevideo,“Es probable” que este jueves liberen a la joven uruguaya secuestrada por Hamás,"“uruguaya”? jaja!! esta tiene de uruguaya lo que yo tengo de Congoles! conoce o vino alguna vez a uruguay? porq los abuelos son uruguayos.. ella toda la vida alla, pero ahora la llaman: uruguaya.. tz!"
147,148,148,Uruguay,1,Septiembre,2022,Subrayado,Asumió el nuevo directorio de la Institución Nacional de Derechos Humanos,"Curreros, el negocio de los huesitos."
221,222,224,Chile,3,Julio,2023,Biobio,"
Suben a ocho los palestinos muertos tras inédito ataque en 20 años de Israel en Cisjordania
",Sionistas genocidas
313,314,1203,Chile,13,Diciembre,2023,Biobio,"
Biden advierte a Israel por plan para inundar túneles en Gaza ante posible presencia de civiles
",Es muy irónico ver a EEUU hablar de daños colaterales.
67,68,68,Panamá,9,Agosto,2023,La Estrella,"'No discriminarás', una mirada al antisemitismo con toque humorístico",Ciencia ficcion si.
